H,NEL,NI,TA
30150.0,2.03523e+008,2.03523e+008,1.30959e+006
30200.0,2.03255e+008,2.03255e+008,1.31026e+006
30250.0,2.02986e+008,2.02986e+008,1.31093e+006
30300.0,2.02718e+008,2.02718e+008,1.31160e+006
30350.0,2.02449e+008,2.02449e+008,1.31227e+006
30400.0,2.02181e+008,2.02181e+008,1.31294e+006
30450.0,2.01913e+008,2.01913e+008,1.31361e+006
30500.0,2.01644e+008,2.01644e+008,1.31427e+006
30550.0,2.01376e+008,2.01376e+008,1.31494e+006
30600.0,2.01107e+008,2.01107e+008,1.31561e+006
30650.0,2.00839e+008,2.00839e+008,1.31628e+006
30700.0,2.00570e+008,2.00570e+008,1.31695e+006
30750.0,2.00302e+008,2.00302e+008,1.31762e+006
30800.0,2.00033e+008,2.00033e+008,1.31828e+006
30850.0,1.99765e+008,1.99765e+008,1.31895e+006
30900.0,1.99496e+008,1.99496e+008,1.31962e+006
30950.0,1.99228e+008,1.99228e+008,1.32029e+006
31000.0,1.98960e+008,1.98960e+008,1.32096e+006
31050.0,1.98691e+008,1.98691e+008,1.32163e+006
31100.0,1.98423e+008,1.98423e+008,1.32230e+006
31150.0,1.98154e+008,1.98154e+008,1.32296e+006
31200.0,1.97886e+008,1.97886e+008,1.32363e+006
31250.0,1.97617e+008,1.97617e+008,1.32430e+006
31300.0,1.97349e+008,1.97349e+008,1.32497e+006
31350.0,1.97080e+008,1.97080e+008,1.32564e+006
31400.0,1.96812e+008,1.96812e+008,1.32631e+006
31450.0,1.96543e+008,1.96543e+008,1.32697e+006
31500.0,1.96275e+008,1.96275e+008,1.32764e+006
31550.0,1.96007e+008,1.96007e+008,1.32831e+006
31600.0,1.95738e+008,1.95738e+008,1.32898e+006
31650.0,1.95470e+008,1.95470e+008,1.32965e+006
31700.0,1.95201e+008,1.95201e+008,1.33032e+006
31750.0,1.94933e+008,1.94933e+008,1.33099e+006
31800.0,1.94664e+008,1.94664e+008,1.33165e+006
31850.0,1.94396e+008,1.94396e+008,1.33232e+006
31900.0,1.94127e+008,1.94127e+008,1.33299e+006
31950.0,1.93859e+008,1.93859e+008,1.33366e+006
32000.0,1.93590e+008,1.93590e+008,1.33433e+006
32050.0,1.93322e+008,1.93322e+008,1.33500e+006
32100.0,1.93054e+008,1.93054e+008,1.33566e+006
32150.0,1.92785e+008,1.92785e+008,1.33633e+006
32200.0,1.92517e+008,1.92517e+008,1.33700e+006
32250.0,1.92248e+008,1.92248e+008,1.33767e+006
32300.0,1.91980e+008,1.91980e+008,1.33834e+006
32350.0,1.91711e+008,1.91711e+008,1.33901e+006
32400.0,1.91443e+008,1.91443e+008,1.33968e+006
32450.0,1.91174e+008,1.91174e+008,1.34034e+006
32500.0,1.90906e+008,1.90906e+008,1.34101e+006
32550.0,1.90637e+008,1.90637e+008,1.34168e+006
32600.0,1.90369e+008,1.90369e+008,1.34235e+006
32650.0,1.90100e+008,1.90100e+008,1.34302e+006
32700.0,1.89832e+008,1.89832e+008,1.34369e+006
32750.0,1.89564e+008,1.89564e+008,1.34435e+006
32800.0,1.89295e+008,1.89295e+008,1.34502e+006
32850.0,1.89027e+008,1.89027e+008,1.34569e+006
32900.0,1.88758e+008,1.88758e+008,1.34636e+006
32950.0,1.88490e+008,1.88490e+008,1.34703e+006
33000.0,1.88221e+008,1.88221e+008,1.34770e+006
33050.0,1.87953e+008,1.87953e+008,1.34837e+006
33100.0,1.87684e+008,1.87684e+008,1.34903e+006
33150.0,1.87416e+008,1.87416e+008,1.34970e+006
33200.0,1.87147e+008,1.87147e+008,1.35037e+006
33250.0,1.86879e+008,1.86879e+008,1.35104e+006
33300.0,1.86611e+008,1.86611e+008,1.35171e+006
33350.0,1.86342e+008,1.86342e+008,1.35238e+006
33400.0,1.86074e+008,1.86074e+008,1.35304e+006
33450.0,1.85805e+008,1.85805e+008,1.35371e+006
33500.0,1.85537e+008,1.85537e+008,1.35438e+006
33550.0,1.85268e+008,1.85268e+008,1.35505e+006
